# phi psi FES dF/dphi dF/dpsi
1.507964473999968025e+00 -3.078760801000035130e+00 1.051073577028772377e+01 1.023115165604706078e+01 -1.326103295920003200e+00
1.570796326999984505e+00 -3.078760801000035130e+00 1.116366825733236112e+01 1.047743707111999001e+01 -1.436627474412984995e+00
1.633628179999974339e+00 -3.078760801000035130e+00 1.182242125760678420e+01 1.043204913403201672e+01 -1.433779230126999149e+00
1.696460032999994372e+00 -3.078760801000035130e+00 1.247314327011899593e+01 1.019480438717302029e+01 -1.332988283690001552e+00
1.759291886000024174e+00 -3.078760801000035130e+00 1.309926545311000723e+01 9.695625135471962253e+00 -1.185803189273008318e+00
1.822123739000014231e+00 -3.078760801000035130e+00 1.368604758911080665e+01 8.955282835154964260e+00 -9.628380887020006051e-01
1.884955592000037816e+00 -3.078760801000035130e+00 1.422062202974069578e+01 8.014929497053035590e+00 -7.323351519209987393e-01
1.947787444999960371e+00 -3.078760801000035130e+00 1.468627525341705820e+01 6.752229281835957053e+00 -4.356493690200006763e-01
2.010619297999981292e+00 -3.078760801000035130e+00 1.506000823090519702e+01 5.095764401822003187e+00 -1.607036657520001244e-01
2.073451150999975567e+00 -3.078760801000035130e+00 1.531662903221393890e+01 3.031472708550003059e+00 1.045356704029999223e-01
2.136283003999996488e+00 -3.078760801000035130e+00 1.543287960114871282e+01 6.249682341989984957e-01 3.752355555970001699e-01
2.199114858000019712e+00 -3.078760801000035130e+00 1.539141081206873451e+01 -1.971059655338994299e+00 7.507319664319950236e-01
2.261946711000003774e+00 -3.078760801000035130e+00 1.518388023468295955e+01 -4.642275034006015488e+00 1.166699212374997074e+00
2.324778564000050451e+00 -3.078760801000035130e+00 1.481431695387684755e+01 -7.062897398324937903e+00 1.642168381471001748e+00
2.387610416999951468e+00 -3.078760801000035130e+00 1.430352498262366367e+01 -9.138334588770051781e+00 2.138332963620003913e+00
2.450442270000012801e+00 -3.078760801000035130e+00 1.367487706990957008e+01 -1.079050358985802305e+01 2.552405924203025478e+00
2.513274122999976878e+00 -3.078760801000035130e+00 1.295536985138677011e+01 -1.206466591754601403e+01 3.006199886336001992e+00
2.576105975999960940e+00 -3.078760801000035130e+00 1.216341588123096074e+01 -1.312557908960997111e+01 3.313051628434966478e+00
2.638937829000033375e+00 -3.078760801000035130e+00 1.131276573373093441e+01 -1.390726814623594620e+01 3.587977459745002928e+00
2.701769681999986794e+00 -3.078760801000035130e+00 1.041945361662915559e+01 -1.451051780839295091e+01 3.828430730034006135e+00
2.764601535000068555e+00 -3.078760801000035130e+00 9.488183978713735200e+00 -1.511857209126287316e+01 3.970571419426978554e+00
2.827433387999951364e+00 -3.078760801000035130e+00 8.525069110061920696e+00 -1.552947791922394316e+01 4.048521444887994924e+00
2.890265241000027796e+00 -3.078760801000035130e+00 7.543233561567205925e+00 -1.569170405434809012e+01 4.131290999413997689e+00
2.953097093999986988e+00 -3.078760801000035130e+00 6.562253350936380514e+00 -1.548099099173504811e+01 4.133142932679009007e+00
3.015928946999945293e+00 -3.078760801000035130e+00 5.610104022984891969e+00 -1.472945732512696893e+01 4.153009613711012626e+00
3.078760801000035130e+00 -3.078760801000035130e+00 4.720463188826002465e+00 -1.350825244702000028e+01 4.117204102669008492e+00
-3.141592653999969009e+00 -3.015928946999945293e+00 4.200914544520685467e+00 -1.188211389553494080e+01 4.795259303805995188e+00
-3.078760801000035130e+00 -3.015928946999945293e+00 3.508700849243716391e+00 -1.012131219267602056e+01 4.722369395608981613e+00
-3.015928946999945293e+00 -3.015928946999945293e+00 2.930469730843867637e+00 -8.289327284265970874e+00 4.632097349929000352e+00
-2.953097093999986988e+00 -3.015928946999945293e+00 2.461334087034899198e+00 -6.647600610616036576e+00 4.539996993773994127e+00
-2.890265241000027796e+00 -3.015928946999945293e+00 2.094213355729749537e+00 -5.080553217311992498e+00 4.438905088476993832e+00
-2.827433387999951364e+00 -3.015928946999945293e+00 1.818275294498754135e+00 -3.732117642467029484e+00 4.360825813760013325e+00
-2.764601535000068555e+00 -3.015928946999945293e+00 1.626909998622771525e+00 -2.362582881784983435e+00 4.364011670810029386e+00
-2.701769681999986794e+00 -3.015928946999945293e+00 1.522549753824002039e+00 -9.876805397310012280e-01 4.488649703170978889e+00
-2.638937829000033375e+00 -3.015928946999945293e+00 1.505105778415902762e+00 4.045926580440044051e-01 4.706968666019991865e+00
-2.576105975999960940e+00 -3.015928946999945293e+00 1.571129678948992137e+00 1.698783960529991699e+00 5.028292619949003672e+00
-2.513274122999976878e+00 -3.015928946999945293e+00 1.711799467528877017e+00 2.713169369785991325e+00 5.284742381281018808e+00
-2.450442270000012801e+00 -3.015928946999945293e+00 1.904377670520823074e+00 3.342402279849978175e+00 5.573576292611974736e+00
-2.387610416999951468e+00 -3.015928946999945293e+00 2.124622929325838072e+00 3.608514776157994763e+00 5.808350823675032082e+00
-2.324778564000050451e+00 -3.015928946999945293e+00 2.348598643857997104e+00 3.518447084560005766e+00 5.933621744171028389e+00
-2.261946711000003774e+00 -3.015928946999945293e+00 2.560768931229084444e+00 3.256674104867994135e+00 5.987950525538972002e+00
-2.199114858000019712e+00 -3.015928946999945293e+00 2.756971712371942829e+00 3.031749100524016249e+00 5.986480439499008988e+00
-2.136283003999996488e+00 -3.015928946999945293e+00 2.940648249341059284e+00 2.811075421662006857e+00 5.893351365422015320e+00
-2.073451150999975567e+00 -3.015928946999945293e+00 3.111797284964346488e+00 2.646049251552009540e+00 5.868224440929047603e+00
-2.010619297999981292e+00 -3.015928946999945293e+00 3.274320536272711024e+00 2.521774032198992099e+00 5.858009416795996849e+00
-1.947787444999960371e+00 -3.015928946999945293e+00 3.431242674453130803e+00 2.475993095797011101e+00 5.828307591064027626e+00
-1.884955592000037816e+00 -3.015928946999945293e+00 3.583112111372116715e+00 2.368807293999998453e+00 5.781919225548989516e+00
-1.822123739000014231e+00 -3.015928946999945293e+00 3.730684287017894007e+00 2.322539220574017627e+00 5.703127698890997799e+00
-1.759291886000024174e+00 -3.015928946999945293e+00 3.874897694391904679e+00 2.264495461839980628e+00 5.612247567802007175e+00
